folder	size in KB	description, when missing you can find the query in git commit history
1mai	15780	
1000gruende	620	
100gruende	12	
120db	278564	{q:'frauenmarsch,120db,b1702,dd1702,ndh1702,niun1702,niun,no120db'.toOR()}
34c3	7444	#34c3
35c3	34540	#35c3
36c3	29660	#36c3
37c3	5492	#37c3
38c3	2764	#38c3
39c3	1924	#39c3
40c3	12892	#40c3
41c3	988	#41c3
42c3	1000	#42c3
43c3	1080	#43c3
abortion	7437332	{q:'abortion'}
afd	1493980	
afd_bundestagsabgeordnete	407716	
afd_bundestagsmitglieder	264152	
afd_bundesvorstand	294164	
afd_landessprecher	99612	
afd_landesverbaende	168392	
afd_landtagsabgeordnete	277624	
afd_landtagsfraktionen	35072	
afd_list_bundestagsabgeordnete	144936	tweets of the of all account the named twitter list
afd_list_bundesvorstand	106336	tweets of the of all account the named twitter list
afd_list_eu-abgeordnete	35688	tweets of the of all account the named twitter list
afd_list_landesverb-nde	18428	tweets of the of all account the named twitter list
afd_list_landesvors-sprecher	50952	tweets of the of all account the named twitter list
afd_list_landtagsabgeordnete	116552	tweets of the of all account the named twitter list
afd_list_landtagsfraktionen	11820	tweets of the of all account the named twitter list
afd_list_verifizierte-accounts	264044	tweets of the of all account the named twitter list
afd_list2_bundestagsabgeordnete	280780	tweets of the of all account the named twitter list
afd_list2_bundesvorstand	165732	tweets of the of all account the named twitter list
afd_list2_eu-abgeordnete	71164	tweets of the of all account the named twitter list
afd_list2_landesverb-nde	23644	tweets of the of all account the named twitter list
afd_list2_landesvors-sprecher	87904	tweets of the of all account the named twitter list
afd_list2_landtagsabgeordnete	176824	tweets of the of all account the named twitter list
afd_list2_landtagsfraktionen	20984	tweets of the of all account the named twitter list
afd_list2_verifizierte-accounts	448548	tweets of the of all account the named twitter list
afd_verifizierte_accounts	698516	
afd2	5229292	{q:'afd OR #afd'}
afdkompakt_alles_auf_einen_blick	2852540	
afdkompakt_bundesvorstand	294160	
afdkompakt_junge_alternative	298540	
afdkompakt_landessprecher	99612	
afdkompakt_landesverbaende	168480	
afdkompakt_landtagsabgeordnete	260356	
afdkompakt_landtagsfraktionen	35072	
afdkompakt_list_alles-auf-einen-blick	212956	tweets of the of all account the named twitter list
afdkompakt_list_bundestagsmitglieder	76668	tweets of the of all account the named twitter list
afdkompakt_list_bundesvorstand	55536	tweets of the of all account the named twitter list
afdkompakt_list_europawahl-kandidaten	3180	tweets of the of all account the named twitter list
afdkompakt_list_junge-alternative	4204	tweets of the of all account the named twitter list
afdkompakt_list_landessprecher-vors	32692	tweets of the of all account the named twitter list
afdkompakt_list_landesverb-nde	12032	tweets of the of all account the named twitter list
afdkompakt_list_landtagsabgeordnete	65428	tweets of the of all account the named twitter list
afdkompakt_list_landtagsfraktionen	5676	tweets of the of all account the named twitter list
afdkompakt_list_ltw-kandidaten-bb	740	tweets of the of all account the named twitter list
afdkompakt_list_ltw-kandidaten-th-ringen	9284	tweets of the of all account the named twitter list
afdkompakt_list_lv-baden-w-rttemberg	63400	tweets of the of all account the named twitter list
afdkompakt_list_lv-bayern	13776	tweets of the of all account the named twitter list
afdkompakt_list_lv-berlin	46028	tweets of the of all account the named twitter list
afdkompakt_list_lv-brandenburg	4288	tweets of the of all account the named twitter list
afdkompakt_list_lv-bremen	288	tweets of the of all account the named twitter list
afdkompakt_list_lv-hamburg	8052	tweets of the of all account the named twitter list
afdkompakt_list_lv-hessen	8304	tweets of the of all account the named twitter list
afdkompakt_list_lv-mecklenburg-vorpommern	10500	tweets of the of all account the named twitter list
afdkompakt_list_lv-niedersachsen	25192	tweets of the of all account the named twitter list
afdkompakt_list_lv-nordrhein-westfalen	26368	tweets of the of all account the named twitter list
afdkompakt_list_lv-rheinland-pfalz	13896	tweets of the of all account the named twitter list
afdkompakt_list_lv-saarland	748	tweets of the of all account the named twitter list
afdkompakt_list_lv-sachsen	11140	tweets of the of all account the named twitter list
afdkompakt_list_lv-sachsen-anhalt	13296	tweets of the of all account the named twitter list
afdkompakt_list_lv-schleswig-holstein	3808	tweets of the of all account the named twitter list
afdkompakt_list_lv-th-ringen	26296	tweets of the of all account the named twitter list
afdkompakt_list_unterst-tzer	26996	tweets of the of all account the named twitter list
afdkompakt_lv_baden_wuerttemberg	316036	
afdkompakt_lv_bayern	152304	
afdkompakt_lv_berlin	202928	
afdkompakt_lv_brandenburg	30096	
afdkompakt_lv_bremen	24520	
afdkompakt_lv_hamburg	37332	
afdkompakt_lv_hessen	63376	
afdkompakt_lv_mecklenburg_vorpommern	31512	
afdkompakt_lv_niedersachsen	52188	
afdkompakt_lv_nordrhein_westfalen	224996	
afdkompakt_lv_rheinland_pfalz	45792	
afdkompakt_lv_saarland	2136	
afdkompakt_lv_sachsen	97632	
afdkompakt_lv_sachsen_anhalt	81012	
afdkompakt_lv_schleswig_holstein	30008	
afdkompakt_lv_thueringen	106392	
afdkompakt_unterstuetzer	125092	
afdwegbassen	33180	
afghanistan1	30381784	{q:'afghanistan,kabul,kabulairport,afghanistanburning,taliban,afghan,afghans'.expand()}
afghanistan2	2505884	{q:'afganistan,afganisthan,afghanisthan'.expand()}
afrin	643212	
alicehasters	10564	{q:'@alicehasters'.expand()}
amadeuantonio	40572	
amadeuantonio2	19184	{q:'@amadeuantonio'.expand()}
angst	12030044	{q:'furcht,fürchten,fürchte,befürchte,befürchten,angst,ängste,beängstigend,panik,sorge,sorgen,bedrohung,bedrohen,bedrohend,bedroht,bedrohlich,bedrohliche,bedrohlichen'.toOR()}
antifa	4225880	
antifa2	17011164	
antifa3	77108	
antifa4	27254896	{q:'#antifa,antifa,anti-faschismus,anti-faschist,anti-faschisten,anti-faschistin,anti-faschistisch,anti-fascism,anti-fascismo,anti-fascist,anti-fascista,anti-fascists,antifaschismus,antifaschist,antifaschisten,antifaschistin,antifaschistisch,antifascism,antifascismo,antifascist,antifascista,antifascists,faschismus,faschist,faschisten,faschistin,faschistisch,fascism,fascismo,fascist,fascista,fascists,exposeantifa,exposeantifaterrorists,iamantifa,yotambiensoyterrorista,weareantifa,iamantifascist,ichbinantifa,americanpatriotsareantifa,weareallantifa'.expand()}
article13	34081812	{q:'#no11,#no12,#no13,acta2,antyart13,art11,art13,art13grafiken,article11,article13,article15,article16,article17,articulo11,articulo13,artigo13,artikel11,artikel12,artikel13,artikel13demo,artikel15,artikel16,artikel17,artikle13,artículo13,axelsurft,axelswelt,axelvoss,b0203,barleyfilter,berlingegen13,bots,censorship,censorshipmachine,censorshipmachines,censuracopyright,copylaw,copyright,copyrightdirective,copyrightirective,createyourinternet,dankejulia,delarticle13,deleteart11,deleteart13,deletearticle13,demogeld,demosold,derechoseninternet,DigitalSingleMarket,EUDigital,fairinternet,fairuse,fckart13,fixcopyright,gegenartikel13,gehtwaehlen,h2020,keinebots,kölngegen13,leistungsschutzrecht,linktax,lsr,luegenmanni,mepstaywithus,merkelfilter,mittelfingermittwoch,mob,mobgate,niemehrcdu,niemehrcsu,niemehrspd,niewiedercdu,no2article11,no2article12,no2article13,nochniecdu,nocreatorsnocontent,op13,pledge2019,ripinternet,safeyourinternet,saveourinternet,savetheinternet,savethelink,saveyourinternet,stopacta2,stoparticle13,stopartikel13,stopcensuracopyright,thankyoujulia,uploadfilter,uploadfiltern,uploadfilters,urheberrecht,urheberrechtsreform,vollvossten,vote4culture,weneedcopyrightdirective,wirsindbots,wirsinddiebots,wirsindkeinebots,yes2copyright,youtubersjoinus'.toOR()}
article13_discussion	12028756	{q:'ansip_eu,authorsocieties,axelvossmdep,bmjv_bund,caspary,cdu,cdu_csu_ep,dsmeu,eff,ep_legal,eppgroup,eu_commission,euforcreators,evisual_artists,fairinternet4p,fim_musicians,gabrielmariya,gema_news,heidihautala,helgatruepel,hwieduwilt,juliaredamep,junckereu,katarinabarley,manfredweber,maxandersson,musikzeitung,peteraltmaier,politicoeurope,senficon,shkmep,spdeuropa,tadeuszzwiefka,urheber_verdi,woelken'.toWildFromTo()}
article13_discussiona	43216	
article13_discussionb	1083680	
article13_discussionc	30368	
article13a	1099664	
article13b	9688	
article13c	8112	
article13d	7412196	
article13e	89056	
article13f	8660	
article13g	55508	
article13h	8744	
article13i	28028	
asyl	476964	{q:'asyl OR asylstreit OR asyltourismus OR asylgehalt'}
aufstehen	328072	{q:'aufstehen'}
b2908	15768	
b3008	77176	{q:'#b2808,#b2908,#b3008,#b3108'.toOR()}
b3008b	454900	{q:'#abstandhaltengegenrechts,#b2808info,#be2808,#b2908info,#be2908,#b3008info,#be3008,#b3108info,#be3108,#berlin2808,#berlin2908,#berlin3008,#berlin3108,#berlindemo,#berlinprotest,#berlinprotests,#coronademo,#covidioten,#demo,#demoberlin,#querdenken,#querdenken711,#sturmaufberlin'.toOR()}
baerbock	305376	
bahn	3702640	{q:'bahn OR bahnhof OR hbf OR zug OR bahnsteig OR to:dbbahn OR dbbahn OR fahrradabteil OR ice OR schaffner OR bordbistro OR verspätung OR anschluss OR umsteigen OR ansage OR anzeige OR stellwerk OR störung OR weiche', lang:'de'}
beirut	5278844	{q:'beirut,lebanon'.expand()}
berlin	43615824	{q:'', geocode:'52.5,13.4,50km'}
besetzen	43512	
bild	734376	{q:'BILD,BILD_Berlin,BILD_Digital,BILD_Frankfurt,BILD_Hamburg,BILD_Muenchen,BILD_News,BILD_Politik,BILD_TopNews,jreichelt'.toFromTo()}
bild_list_bild-accounts	140632	tweets of the of all account the named twitter list
bild_list_bild-bundesliga-news	9588	tweets of the of all account the named twitter list
bild_list_bild-regional	19200	tweets of the of all account the named twitter list
bild_list_bild-reporter-bei-b2908	484	tweets of the of all account the named twitter list
bild_list_bild-reporter-digital	2236	tweets of the of all account the named twitter list
bild_list_bild-reporter-news	4576	tweets of the of all account the named twitter list
bild_list_bild-reporter-politik	46292	tweets of the of all account the named twitter list
bild_list_bild-reporter-promis	8800	tweets of the of all account the named twitter list
bild_list_bild-reporter-sport	11304	tweets of the of all account the named twitter list
bild_list_bild-rt-redaktion	14876	tweets of the of all account the named twitter list
bild_list_ehfk-gala-reporter-2015	4792	tweets of the of all account the named twitter list
bild_list_ehfk-gala-reporter-20161	5060	tweets of the of all account the named twitter list
bild_list_ein-herz-fuer-kinder	15692	tweets of the of all account the named twitter list
bild_list_empfehlungen	58100	tweets of the of all account the named twitter list
bild_list_g20-gipfel	10208	tweets of the of all account the named twitter list
bild_list_hot-in-berlin	3524	tweets of the of all account the named twitter list
bild_list_reporter-in-paris	13632	tweets of the of all account the named twitter list
bild_list_wir-sind-bild	104164	tweets of the of all account the named twitter list
bild_list_zugungl-ck-in-bad-aibling	1536	tweets of the of all account the named twitter list
bild_list2_bild-accounts	403480	tweets of the of all account the named twitter list
bild_list2_bild-bundesliga-news	15544	tweets of the of all account the named twitter list
bild_list2_bild-regional	28308	tweets of the of all account the named twitter list
bild_list2_bild-reporter-bei-b2908	5028	tweets of the of all account the named twitter list
bild_list2_bild-reporter-digital	3040	tweets of the of all account the named twitter list
bild_list2_bild-reporter-news	5860	tweets of the of all account the named twitter list
bild_list2_bild-reporter-politik	94256	tweets of the of all account the named twitter list
bild_list2_bild-reporter-promis	14008	tweets of the of all account the named twitter list
bild_list2_bild-reporter-sport	13344	tweets of the of all account the named twitter list
bild_list2_bild-rt-redaktion	66696	tweets of the of all account the named twitter list
bild_list2_ehfk-gala-reporter-2015	11364	tweets of the of all account the named twitter list
bild_list2_ehfk-gala-reporter-20161	16048	tweets of the of all account the named twitter list
bild_list2_ein-herz-fuer-kinder	84256	tweets of the of all account the named twitter list
bild_list2_empfehlungen	200260	tweets of the of all account the named twitter list
bild_list2_g20-gipfel	15540	tweets of the of all account the named twitter list
bild_list2_hot-in-berlin	5604	tweets of the of all account the named twitter list
bild_list2_reporter-in-paris	11520	tweets of the of all account the named twitter list
bild_list2_wir-sind-bild	390228	tweets of the of all account the named twitter list
bild_list2_zugungl-ck-in-bad-aibling	912	tweets of the of all account the named twitter list
bild2	3264	{q:'dankebild'.expand()}
black_in_ai	5036	{q:'@black_in_ai'.expand()}
bots_seitensprung_boersen	2852	
brazilelections_1	22004028	{q:'#brazil,#brazil22,#brazil2022,#brazilelections,#brazilelections2022,#presidentialelection2022,#eleicos,#eleicoes,#eleicoesbrasil,#eleicoes2022,#eleicoes22,#naovote,#candidato,@jairbolsonaro,#jairbolsonaro,bolsonaro,#bolsonaro,#nothim,#capitaodopovovaivencerdenovo ,#bolsonaro22,#bolsonaro2022,#bolsonaroreeleitoem2022,#bolsonaropresidenteate2026,@lulaoficial,#luizignazioluladasilva ,#lula,#lula2022,#lula22,#lulapresidente2022,#lulapresidente2022,@cirogomes,"ciro gomes",#ciro,#ciro2022,#ciro22,@simonetebetbr,"simone tebet",#tebet,#tebet2022,#tebet22'.expand()}
brazilelections_2	1358136	
